"Add to Cart","Купити"
"Add to Cart %1","Купити %1"
"Add %1 to Cart","Додати %1 до кошика"
"In stock","В наявності"
"New","Новинка"
"Sale","Розпродаж"
"Home","Головна"
"More Information","Більше інформації"
"Material","Матеріал"
"Size","Розмір"
"Color","Колір"
"Product Options:","Опції продукту:"
"Women","Жінкам"
"SKU","Артикул"
"Style","Стиль"
"Tops","Топи"
"What's New","Що нового"
"Trust badges","Значки довіри"
"Username","Ім'я"
"Fast delivery","Швидка доставка"
"Pay on delivery","Оплата при доставці"
"Easy returns","Легке повернення"
"Pattern","Візерунок"
"Related Products","Супутні товари"
"Company","Компанія"
"Legal","Юридична інформація"
"Newsletter","Новини"
"Cart","Кошик"
"Cart is empty","Кошик порожній"
"View cart","Переглянути кошик"
"Toggle minicart","Відкрити/закрити міні-кошик"
"Close minicart","Закрити міні-кошик"
"%1 item","%1 товар"
"%1 items","%1 товарів"
"Remove item %1","Видалити товар %1"
"Remove product ""%0"" from cart","Видалити товар ""%0"" з кошика"
"The price depends on the chosen options","Ціна залежить від обраних опцій"
"Main menu","Головне меню"
"Open menu","Відкрити меню"
"Close menu","Закрити меню"
"Site navigation","Навігація по сайту"
"Toggle search form","Відкрити/закрити форму пошуку"
"Store logo","Логотип магазину"
"Go to Home page","Перейти на головну"
"Back to main categories","Повернутися до головних категорій"
"Show submenu for %1 category","Показати підменю для категорії %1"
"Open %1 subcategories","Відкрити підкатегорії %1"
"Subcategories","Підкатегорії"
"Product list","Список товарів"
"Product filters","Фільтри товарів"
"filter","фільтр"
"Active filtering","Активні фільтри"
"Remove active %1 filter: %2","Видалити активний фільтр %1: %2"
"%1 filter options","Опцій фільтра %1"
"%1 filter, %2 available products","Фільтр %1, %2 доступних товарів"
"%1 filter, 1 available product","Фільтр %1, 1 доступний товар"
"Filter %1 %2","Фільтр %1 %2"
"Products view mode","Режим перегляду товарів"
"Products view mode - %1","Режим перегляду товарів - %1"
"Show items per page","Показати товарів на сторінці"
"Skip to product list","Перейти до списку товарів"
"Click to view image in fullscreen","Натисніть для перегляду у повноекранному режимі"
"Close fullscreen","Закрити повноекранний режим"
"Gallery modal fullscreen","Галерея у повноекранному режимі"
"Main image","Головне зображення"
"%1 thumbnail","Мініатюра %1"
"Play video","Відтворити відео"
